"Verifying 	old 	data			",,
"Times are in grams	",,
5-5MA,0.000 009 582,0.4
5MA-2-2MA-1,-0.000 019 175,0.4
2+2MA+1-5MB,0.000 031 635,0.4
5-5MA,0.000 008 901,0.4
5MA-2-2MA-1,-0.000 018 162,0.4
2+2MA+1-5MB,0.000 032 007,0.4
2-2MA,0.000 003 136,0.4
2MA-1-1MA,-0.000 002 221,0.4
1-1MA,-0.000 000 033,0.4
1MA-0.5-0.5MA,0.000 004 795,0.4
0.5-0.5MA,0.000 001 789,0.4
0.5MA-0.2-0.2MA-0.1,-0.000 006 743,0.4
0.2-0.2MA,-0.000 012 661,0.4
0.2MA-0.1-0.1MA ,0.000 002 659,0.4
0.1-0.1MA,0.000 008 751,0.4
0.1MA-0.05-0.05MA,-0.000 009 858,0.4
0.05+0.05MA-0.1MB,0.000 016 333,0.4
0.1-0.1MA,0.000 008 828,0.4
0.1MA-0.05-0.05MA,-0.000 009 711,0.4
0.05+0.05MA-0.1MB,0.000 016 149,0.4
0.05-0.05MA,0.000 001 153,0.3
0.05MA-0.02-0.02d-0.01,0.000 000 001,0.3
0.02-0.02MA,-0.000 005 288,0.3
0.02MA-0.02d,-0.000002649,0.3
0.02d-0.01-0.01MA,0.000 000 179,0.3
0.01-0.01MA,0.000 000 625,0.3
0.01MA-0.005-0.005MA,-0.000 002 956,0.3
0.005+0.005MA-0.01MB,0.000 004 396,0.3
0.01-0.01MA,0.000 000 747,0.3
0.01MA-0.005-0.005MA,-0.000 002 944,0.3
0.005+0.005MA-0.01MB ,0.000 004 01,0.3
0.005-0.005MA,0.000 002 072,0.3
0.005MA-0.002-0.002d-0.001,0.000 001 97,0.3
0.002-0.002MA,-0.000002223,0.3
0.002MA-0.002d,0.000 001 538,0.3
0.002d-0.001-0.001MA,-0.000 003 802,0.3
0.001-0.001MA,0.000 000 197,0.3
0.001MA-0.001MB,0.000 000 385,0.3
0.001-0.001MA,0.000 000 169,0.3
0.001MA-0.001MB,0.000 000 335,0.3
5MA,5.000 012 194,0.817
2MA,2.000 009 429,0.607
1MA,1.000 006 957,0.507
0.5MA,0.499 999 985,0.412
0.2MA,0.200 006 512,0.306
0.1MA,0.099 997 516,0.256
0.05MA,0.050 003 175,0.205
0.02MA,0.020 001 378,0.153
0.01MA,0.010 001 738,0.152
0.005MA,0.005 001 357,0.156
0.002MA,0.002 000 763,0.152
0.001MA,0.001 001 423,0.153
